id,firstName,lastName,email,moneySpent,productsPurchased,updatedAt,createdAt
84,Rollie,Cleyburn,rcleyburn2b@techcrunch.com,$824.65,75,10/24/2023,9/30/2023
85,Nanine,McGibbon,nmcgibbon2c@nytimes.com,$656.42,7,8/8/2023,3/12/2024
86,Ky,Lygoe,klygoe2d@trellian.com,$1165.89,88,3/20/2024,4/25/2023
87,Sander,Tomsett,stomsett2e@miitbeian.gov.cn,$998.00,45,2/2/2024,11/27/2023
88,Correy,Backwell,cbackwell2f@patch.com,$1616.73,71,10/14/2023,8/16/2023
89,Vera,Oldrey,voldrey2g@github.com,$1260.56,60,10/24/2023,2/28/2024
90,Emanuele,Staining,estaining2h@lulu.com,$1135.25,85,3/29/2023,8/16/2023
91,Clementius,Leynton,cleynton2i@livejournal.com,$155.52,92,10/26/2023,1/19/2024
92,Sanderson,Bonnier,sbonnier2j@vinaora.com,$1874.35,90,2/27/2024,10/27/2023
93,Dacey,Jewess,djewess2k@soundcloud.com,$204.33,69,11/14/2023,5/6/2023
94,Ursa,Breen,ubreen2l@chron.com,$659.74,78,9/13/2023,5/3/2023
95,Elysee,Huggons,ehuggons2m@networksolutions.com,$1947.37,27,11/19/2023,9/2/2023
96,Gabriele,Woodrup,gwoodrup2n@ucoz.ru,$603.90,94,8/15/2023,5/12/2023
97,Sallie,Silson,ssilson2o@ucla.edu,$371.63,76,4/12/2023,4/10/2023
98,Hattie,Manifould,hmanifould2p@who.int,$1034.81,51,9/15/2023,12/30/2023
99,Lucius,Archbould,larchbould2q@freewebs.com,$160.40,72,3/15/2024,9/29/2023
100,Jackquelin,Bacup,jbacup2r@feedburner.com,$1363.84,23,2/6/2024,1/27/2024
101,Bibi,Hartlebury,bhartlebury2s@google.es,$1767.29,74,3/6/2024,9/19/2023
102,Anthe,Corkitt,acorkitt2t@mayoclinic.com,$1880.64,88,7/5/2023,8/26/2023
103,Angelo,Cadney,acadney2u@weather.com,$125.83,88,10/30/2023,8/8/2023
104,Kliment,Eastope,keastope2v@arizona.edu,$1406.32,96,6/20/2023,1/4/2024
105,Cherice,Crowdace,ccrowdace2w@netlog.com,$1590.32,31,10/6/2023,4/15/2023
106,Jaquelin,Toten,jtoten2x@ted.com,$1759.18,2,7/10/2023,10/27/2023
107,Vito,Markwelley,vmarkwelley2y@abc.net.au,$955.13,83,9/23/2023,6/8/2023
108,Nicolais,Chatainier,nchatainier2z@cbslocal.com,$442.84,72,11/27/2023,4/30/2023
109,Codee,Ayrton,cayrton30@foxnews.com,$1095.98,16,1/17/2024,3/16/2024
110,Pattie,Scheffel,pscheffel31@paginegialle.it,$1637.88,32,11/21/2023,7/4/2023
111,Ramsay,Rizziello,rrizziello32@aol.com,$105.67,40,7/26/2023,3/6/2024
112,Bellanca,Courtonne,bcourtonne33@senate.gov,$158.55,86,7/7/2023,5/6/2023
113,Camila,Hartill,chartill34@yahoo.com,$1888.44,38,9/21/2023,1/16/2024
114,Drusi,Rigler,drigler35@mail.ru,$1005.63,96,2/2/2024,5/20/2023
115,Ewell,Hulke,ehulke36@ibm.com,$848.33,65,12/20/2023,4/23/2023
116,Dorothee,Lemerie,dlemerie37@rakuten.co.jp,$1163.58,16,6/2/2023,12/22/2023
117,Glenine,Pitcaithly,gpitcaithly38@hostgator.com,$1189.66,17,4/1/2023,6/21/2023
118,Amalea,Boulds,aboulds39@psu.edu,$421.50,42,1/20/2024,9/15/2023
119,Rafaela,Joint,rjoint3a@hostgator.com,$1932.49,59,3/3/2024,2/19/2024
120,Isac,MacManus,imacmanus3b@skype.com,$1728.25,22,3/27/2023,7/3/2023
121,Astrid,Thomassin,athomassin3c@house.gov,$1909.93,56,9/14/2023,8/22/2023
122,Rosanna,Goodridge,rgoodridge3d@hatena.ne.jp,$266.33,83,5/1/2023,3/25/2023
123,Sawyer,Samett,ssamett3e@accuweather.com,$1885.17,90,5/26/2023,10/21/2023
124,Tracie,Belsham,tbelsham3f@pagesperso-orange.fr,$1346.01,45,1/12/2024,3/13/2024
125,Thomasina,Jimeno,tjimeno3g@sfgate.com,$609.93,22,1/14/2024,11/30/2023
126,Fey,Goodison,fgoodison3h@cmu.edu,$684.28,26,7/28/2023,3/11/2024
127,Ham,Sainsbury,hsainsbury3i@i2i.jp,$585.63,10,4/17/2023,5/30/2023
128,Jeno,Beckhurst,jbeckhurst3j@sogou.com,$661.87,62,11/14/2023,9/21/2023
129,Colly,Pope,cpope3k@noaa.gov,$756.11,40,4/3/2023,11/21/2023
130,Fionnula,Mattiuzzi,fmattiuzzi3l@macromedia.com,$1755.23,46,1/21/2024,1/3/2024
131,Tam,Simmell,tsimmell3m@yandex.ru,$916.09,60,12/12/2023,3/5/2024
132,Amber,Raymond,araymond3n@microsoft.com,$936.39,16,5/9/2023,10/10/2023
133,Thane,Blaiklock,tblaiklock3o@tamu.edu,$1385.54,35,12/24/2023,10/12/2023
134,Janelle,Druhan,jdruhan3p@samsung.com,$283.80,11,10/25/2023,5/3/2023
135,Ware,Rainford,wrainford3q@chronoengine.com,$1346.55,58,5/8/2023,2/4/2024
136,Boone,Roberto,broberto3r@bigcartel.com,$1680.15,97,10/3/2023,8/22/2023
137,Jocko,Andryushchenko,jandryushchenko3s@netvibes.com,$591.49,37,5/21/2023,3/13/2024
138,Conroy,Birchill,cbirchill3t@ustream.tv,$978.68,10,3/6/2024,10/30/2023
139,Grover,Kerner,gkerner3u@boston.com,$993.49,54,9/14/2023,11/1/2023
140,Ninnette,Perillo,nperillo3v@yellowpages.com,$205.62,32,3/4/2024,5/25/2023
141,Caren,Andrin,candrin3w@berkeley.edu,$1131.88,46,1/11/2024,10/5/2023
142,Gawain,Orange,gorange3x@purevolume.com,$172.00,52,7/9/2023,3/16/2024
143,Alyson,Foldes,afoldes3y@fotki.com,$333.75,55,1/8/2024,7/3/2023
144,Joshia,Craise,jcraise3z@indiegogo.com,$428.84,9,11/30/2023,8/31/2023
145,Madison,Mozzi,mmozzi40@ycombinator.com,$378.55,87,3/15/2024,9/20/2023
146,Flore,Lamonby,flamonby41@adobe.com,$1642.12,60,3/25/2023,3/28/2023
147,Jessica,Domerq,jdomerq42@wikimedia.org,$798.60,34,9/13/2023,12/21/2023
148,Marillin,Dallas,mdallas43@sciencedaily.com,$244.31,18,7/25/2023,4/3/2023
149,Rozelle,Jorn,rjorn44@amazon.co.uk,$1921.00,63,9/13/2023,3/26/2023
150,Tyrus,Hanbury,thanbury45@ovh.net,$929.31,42,5/31/2023,10/28/2023
151,Norby,Coase,ncoase46@wordpress.com,$1473.74,69,8/28/2023,4/6/2023
152,Erl,Cahill,ecahill47@yale.edu,$522.28,80,8/15/2023,2/16/2024
153,Kathryn,Kuhnke,kkuhnke48@aol.com,$908.85,86,4/26/2023,2/3/2024
154,Norean,de Aguirre,ndeaguirre49@ebay.com,$479.41,35,12/3/2023,6/20/2023
155,Nedda,Pendergrast,npendergrast4a@1und1.de,$722.03,43,1/5/2024,6/24/2023
156,Henri,Eliff,heliff4b@edublogs.org,$1546.38,76,7/29/2023,12/1/2023
157,Sarette,Roxbrough,sroxbrough4c@patch.com,$1855.61,34,4/17/2023,2/8/2024
158,Kate,Trusler,ktrusler4d@symantec.com,$739.26,71,4/20/2023,4/23/2023
159,Hervey,Kettridge,hkettridge4e@arizona.edu,$1242.13,26,10/15/2023,1/10/2024
160,Abbey,Trueman,atrueman4f@about.me,$1561.50,23,1/26/2024,11/3/2023
161,Stuart,Tousy,stousy4g@surveymonkey.com,$1864.90,85,11/6/2023,5/27/2023
162,Leicester,Swarbrick,lswarbrick4h@usatoday.com,$1897.70,35,3/17/2024,3/11/2024
163,Tansy,Damiata,tdamiata4i@pcworld.com,$692.04,69,3/16/2024,11/28/2023
164,Letta,Calver,lcalver4j@reverbnation.com,$1236.82,83,4/4/2023,11/30/2023
165,Herman,Hegge,hhegge4k@wired.com,$630.96,71,1/24/2024,8/11/2023
166,Duky,Rustadge,drustadge4l@jugem.jp,$618.26,66,12/22/2023,2/26/2024
167,Jada,Robertot,jrobertot4m@rambler.ru,$1319.15,49,1/6/2024,10/17/2023
168,Lesya,Renton,lrenton4n@mapquest.com,$1786.86,82,9/8/2023,6/1/2023
169,Stern,Glyne,sglyne4o@microsoft.com,$1917.55,57,11/4/2023,7/28/2023
170,Maiga,Thrower,mthrower4p@webs.com,$1122.82,33,12/1/2023,5/10/2023
171,Suzann,Jagiela,sjagiela4q@nationalgeographic.com,$721.19,85,3/5/2024,8/31/2023
172,Amanda,Moysey,amoysey4r@prlog.org,$1610.44,47,9/19/2023,7/15/2023
173,Tybi,Feldon,tfeldon4s@huffingtonpost.com,$500.45,35,7/13/2023,2/26/2024
174,Ulla,Tomlett,utomlett4t@google.ca,$920.70,55,11/14/2023,2/12/2024
175,Den,Beckles,dbeckles4u@reverbnation.com,$607.03,13,6/12/2023,3/4/2024
176,Hermina,Clemence,hclemence4v@theatlantic.com,$1285.85,21,12/28/2023,2/28/2024
177,Shandy,Cordey,scordey4w@vk.com,$1141.35,59,8/31/2023,10/5/2023
178,Cooper,Santostefano.,csantostefano4x@gizmodo.com,$1155.35,18,7/1/2023,2/17/2024
179,Irvine,Rizzello,irizzello4y@nature.com,$1735.68,35,3/24/2024,9/8/2023
180,Reinold,Cleverly,rcleverly4z@deviantart.com,$1423.72,64,4/30/2023,6/25/2023
181,Gerianne,Ashbee,gashbee50@a8.net,$286.32,11,6/23/2023,10/12/2023
182,Harry,Sandom,hsandom51@arizona.edu,$1497.42,34,7/31/2023,3/17/2024
183,Elizabet,Sackur,esackur52@opensource.org,$1394.94,17,11/13/2023,6/21/2023
184,Darrin,Silversmidt,dsilversmidt53@scribd.com,$1654.69,35,12/10/2023,9/25/2023
185,Edsel,Kaye,ekaye54@4shared.com,$547.68,72,10/29/2023,10/31/2023
186,Nelle,Mattholie,nmattholie55@ameblo.jp,$161.32,42,9/25/2023,5/6/2023
187,Aline,Kubala,akubala56@stanford.edu,$1341.11,44,1/5/2024,3/9/2024
188,Robbie,Thon,rthon57@mysql.com,$1770.57,53,12/24/2023,12/31/2023
189,Geoff,Saurat,gsaurat58@umn.edu,$878.79,40,4/9/2023,6/8/2023
190,Lonnie,Stouther,lstouther59@pinterest.com,$1000.91,73,9/8/2023,2/4/2024
191,Johny,Immings,jimmings5a@kickstarter.com,$906.82,79,8/22/2023,9/23/2023
192,Pier,Acome,pacome5b@1688.com,$1777.91,13,7/25/2023,5/29/2023
193,Danielle,Sacaze,dsacaze5c@reuters.com,$1886.57,84,6/16/2023,5/9/2023
194,Gilberto,Beckinsall,gbeckinsall5d@jigsy.com,$1775.16,30,11/8/2023,4/3/2023
195,Sari,Haire,shaire5e@tamu.edu,$1501.71,74,4/25/2023,3/27/2023
196,Winne,Costerd,wcosterd5f@answers.com,$247.46,71,5/3/2023,8/30/2023
197,Amargo,Plait,aplait5g@1und1.de,$1804.36,91,5/24/2023,6/2/2023
198,Anderson,Osan,aosan5h@desdev.cn,$248.31,88,8/1/2023,4/13/2023
199,Patsy,Abrahmovici,pabrahmovici5i@examiner.com,$511.73,77,9/3/2023,6/9/2023
200,Amil,Edwick,aedwick5j@infoseek.co.jp,$380.15,26,6/1/2023,12/26/2023
201,Elissa,Blackie,eblackie5k@aol.com,$1552.89,86,11/14/2023,4/14/2023
202,Lefty,Kinmond,lkinmond5l@dagondesign.com,$348.72,39,12/3/2023,9/15/2023
203,Jany,Tinson,jtinson5m@unblog.fr,$1863.35,20,5/27/2023,11/13/2023
204,Trina,Abbyss,tabbyss5n@arstechnica.com,$263.83,86,10/27/2023,10/25/2023
205,Reidar,Farrar,rfarrar5o@nydailynews.com,$1293.38,27,12/12/2023,6/20/2023
206,Netti,Downie,ndownie5p@privacy.gov.au,$382.12,12,7/29/2023,12/18/2023
207,Marrilee,Ellaman,mellaman5q@answers.com,$1948.95,52,1/17/2024,12/11/2023
208,Massimo,Rolance,mrolance5r@fema.gov,$351.53,15,7/24/2023,9/7/2023
209,Patsy,Cardinale,pcardinale5s@nationalgeographic.com,$1473.14,92,7/18/2023,8/20/2023
210,Alexandros,Snel,asnel5t@blogtalkradio.com,$1327.28,81,3/20/2024,12/15/2023
211,Clem,Pattini,cpattini5u@xinhuanet.com,$486.13,61,4/25/2023,4/16/2023
212,Thaxter,Paver,tpaver5v@hp.com,$575.09,58,9/12/2023,11/6/2023
213,Riobard,Djurevic,rdjurevic5w@jimdo.com,$172.50,50,1/16/2024,3/4/2024
214,Pearla,Matevosian,pmatevosian5x@addtoany.com,$1059.50,73,8/10/2023,10/5/2023
215,Darcy,Seamans,dseamans5y@godaddy.com,$523.04,33,12/4/2023,2/25/2024
216,Winny,Boldt,wboldt5z@chron.com,$1996.26,83,7/29/2023,11/16/2023
217,Benita,Bowlands,bbowlands60@skype.com,$1568.23,47,3/17/2024,5/8/2023
218,Jamey,Pauletti,jpauletti61@multiply.com,$1238.23,60,4/25/2023,2/22/2024
219,Esteban,Askey,easkey62@answers.com,$1028.21,74,9/30/2023,3/5/2024
220,Nicolas,Davidovicz,ndavidovicz63@biblegateway.com,$354.85,93,12/3/2023,6/12/2023
221,Obadiah,Alessandretti,oalessandretti64@ebay.com,$1302.29,1,11/5/2023,11/5/2023
222,Delinda,Cove,dcove65@va.gov,$1146.25,15,2/26/2024,12/4/2023
223,Leslie,Brolly,lbrolly66@newyorker.com,$448.38,74,7/9/2023,7/31/2023
224,Paxon,Philo,pphilo67@nifty.com,$811.23,73,2/10/2024,12/8/2023
225,Antonin,Nisby,anisby68@bizjournals.com,$1527.14,72,12/27/2023,7/18/2023
226,Valentine,Windas,vwindas69@foxnews.com,$773.24,52,2/22/2024,2/8/2024
227,Averill,Treuge,atreuge6a@edublogs.org,$1832.17,32,4/5/2023,2/15/2024
228,Jimmy,Baruch,jbaruch6b@amazon.co.uk,$1532.01,91,4/26/2023,6/19/2023
229,Rick,Kingzett,rkingzett6c@japanpost.jp,$1145.04,6,8/22/2023,8/24/2023
230,Elwood,Westerman,ewesterman6d@51.la,$1617.40,68,8/18/2023,8/26/2023
231,Bev,Seal,bseal6e@printfriendly.com,$1683.12,77,1/3/2024,5/16/2023
232,Welbie,Hawkslee,whawkslee6f@symantec.com,$969.02,33,10/5/2023,9/21/2023
233,Allegra,Cawdron,acawdron6g@amazon.co.jp,$1008.06,16,3/24/2024,5/21/2023
234,Perren,Brunner,pbrunner6h@a8.net,$183.42,90,4/8/2023,8/17/2023
235,Max,Verzey,mverzey6i@networksolutions.com,$932.20,97,8/11/2023,6/9/2023
236,Godard,Neilson,gneilson6j@auda.org.au,$1556.29,57,5/18/2023,10/25/2023
237,Mikaela,Letch,mletch6k@google.nl,$750.83,81,9/1/2023,8/24/2023
238,Rosaline,Deinhardt,rdeinhardt6l@t-online.de,$234.15,52,12/23/2023,5/20/2023
239,Quintus,Korting,qkorting6m@constantcontact.com,$643.89,16,4/30/2023,10/28/2023
240,Dorey,Gruszka,dgruszka6n@alexa.com,$614.67,54,11/27/2023,5/14/2023
241,Fabiano,Risson,frisson6o@privacy.gov.au,$1161.06,7,12/24/2023,1/24/2024
242,Wilhelmine,Snel,wsnel6p@gov.uk,$870.49,53,7/6/2023,7/17/2023
243,Adelice,Fontel,afontel6q@eepurl.com,$1897.05,28,4/2/2023,12/31/2023
244,Martyn,Titman,mtitman6r@networksolutions.com,$513.72,15,12/25/2023,3/31/2023
245,Heindrick,Purdey,hpurdey6s@nature.com,$575.86,85,6/17/2023,8/28/2023
246,Gilemette,Curley,gcurley6t@over-blog.com,$1612.18,27,3/6/2024,12/8/2023
247,Jobye,Norcross,jnorcross6u@unicef.org,$662.30,95,1/13/2024,8/13/2023
248,Betsy,Herculeson,bherculeson6v@4shared.com,$1775.71,21,2/14/2024,8/8/2023
249,Ario,Ludy,aludy6w@wp.com,$1474.16,60,3/29/2023,9/22/2023
250,Waylon,Mularkey,wmularkey6x@ehow.com,$204.34,33,10/1/2023,12/31/2023
251,Olva,Geindre,ogeindre6y@quantcast.com,$1953.81,95,7/21/2023,6/15/2023
252,Henrieta,Treadaway,htreadaway6z@ehow.com,$585.71,49,10/12/2023,9/29/2023
253,Vivian,Oaten,voaten70@springer.com,$185.29,88,1/21/2024,3/2/2024
254,Erny,Judgkins,ejudgkins71@bbc.co.uk,$492.32,87,6/4/2023,2/6/2024
255,Ginni,Enrietto,genrietto72@springer.com,$1596.99,92,6/21/2023,4/14/2023
256,Nero,Adney,nadney73@buzzfeed.com,$832.75,4,10/2/2023,2/21/2024
257,Haydon,Pickthall,hpickthall74@soup.io,$1176.43,58,7/8/2023,3/19/2024
258,Winthrop,Albery,walbery75@google.fr,$1015.83,66,7/8/2023,11/8/2023
259,Danila,Dilger,ddilger76@house.gov,$1334.40,30,2/15/2024,8/5/2023
260,Penn,Cazalet,pcazalet77@163.com,$1208.42,39,4/14/2023,11/16/2023
261,Kimbell,MacFall,kmacfall78@washingtonpost.com,$937.35,4,12/16/2023,12/3/2023
262,Brianna,Colbeck,bcolbeck79@wunderground.com,$650.88,67,2/8/2024,1/1/2024
263,Clyde,Leheude,cleheude7a@networkadvertising.org,$295.97,52,2/17/2024,8/30/2023
264,Madelyn,L'Archer,mlarcher7b@nasa.gov,$379.55,90,10/12/2023,12/27/2023
265,Annabell,Deschelle,adeschelle7c@state.gov,$1669.88,58,12/17/2023,10/1/2023
266,Eran,Rains,erains7d@networkadvertising.org,$1977.51,83,10/13/2023,2/27/2024
267,Danyette,Willarton,dwillarton7e@woothemes.com,$1878.26,85,3/3/2024,6/25/2023
268,Chickie,Bomb,cbomb7f@sogou.com,$127.48,54,8/30/2023,12/24/2023
269,Carlin,Mara,cmara7g@bing.com,$778.78,81,12/14/2023,11/29/2023
270,Muffin,Himpson,mhimpson7h@mozilla.com,$1933.98,20,7/7/2023,5/24/2023
271,Hoebart,Denslow,hdenslow7i@sfgate.com,$354.39,88,6/18/2023,10/8/2023
272,May,Yakebowitch,myakebowitch7j@feedburner.com,$738.69,43,1/5/2024,3/26/2023
273,Vivien,Frangione,vfrangione7k@statcounter.com,$1775.93,89,8/23/2023,9/21/2023
274,Sybila,Chesser,schesser7l@ask.com,$1422.30,88,3/12/2024,6/20/2023
275,Jethro,Christaeas,jchristaeas7m@parallels.com,$965.33,24,4/8/2023,2/1/2024
276,Tybie,Bradnocke,tbradnocke7n@bloglines.com,$1686.72,31,6/3/2023,2/24/2024
277,Lela,Lillow,llillow7o@cargocollective.com,$579.60,67,3/15/2024,3/14/2024
278,Puff,Drewson,pdrewson7p@zdnet.com,$1411.47,10,7/10/2023,9/17/2023
279,Sib,Knatt,sknatt7q@sogou.com,$293.42,51,12/10/2023,8/29/2023
280,Brand,Canas,bcanas7r@instagram.com,$890.95,27,8/7/2023,12/26/2023
281,Kristy,Aisman,kaisman7s@ucoz.ru,$377.41,69,6/30/2023,12/18/2023
282,Pooh,Pelz,ppelz7t@china.com.cn,$977.99,77,12/30/2023,2/24/2024
283,Filberto,Branthwaite,fbranthwaite7u@clickbank.net,$627.72,79,12/3/2023,2/24/2024
284,Filippa,Southern,fsouthern7v@economist.com,$1664.73,65,2/24/2024,10/8/2023
285,Beth,Josskovitz,bjosskovitz7w@sfgate.com,$1141.65,39,6/12/2023,12/9/2023
286,Murvyn,Lutas,mlutas7x@cbsnews.com,$910.87,13,11/29/2023,1/30/2024
287,Michaeline,Byham,mbyham7y@ftc.gov,$919.83,46,2/8/2024,5/6/2023
288,Elonore,MacAless,emacaless7z@nationalgeographic.com,$1648.20,6,5/12/2023,11/23/2023
289,Stanwood,Davoren,sdavoren80@soundcloud.com,$1796.66,32,12/4/2023,4/24/2023
290,Huey,Sjostrom,hsjostrom81@twitter.com,$1355.37,7,10/26/2023,2/15/2024
291,Tymon,Stych,tstych82@yale.edu,$1307.58,33,9/23/2023,4/18/2023
292,Wayne,Garmans,wgarmans83@amazonaws.com,$234.98,50,2/16/2024,3/19/2024
